q,allowed_branches,mu_q,has_zero_residue,exact_best_rho,predicted_best_rho,exact_best_m_list,predicted_best_m_list,all_inverse_pairs_hit,missed_first_shell_m_list,first_shell_hit_m_list,all_admissible_equal,common_rho_if_equal,rho_spectrum,prediction_matches_exact
51,"11,13,14",3,False,1,1,"11,13,14","11,13,14",True,,"11,13,14",True,1,1:3,True
52,"11,15",2,False,1,1,"11,15","11,15",True,,"11,15",True,1,1:2,True
53,"11,12,13,14,15",5,False,1,1,"11,12,13,14,15","11,12,13,14,15",True,,"11,12,13,14,15",True,1,1:5,True
54,"11,13",2,False,1,1,"11,13","11,13",True,,"11,13",True,1,1:2,True
55,"12,13,14,16",4,False,1,1,"12,13,14,16","12,13,14,16",True,,"12,13,14,16",True,1,1:4,True
56,"13,15",2,False,1,1,"13,15","13,15",True,,"13,15",True,1,1:2,True
57,"13,14,16,17",4,False,1,1,"13,14,16,17","13,14,16,17",True,,"13,14,16,17",True,1,1:4,True
58,"13,15,17",3,False,1,1,"13,15,17","13,15,17",True,,"13,15,17",True,1,1:3,True
59,"12,13,14,15,16,17",6,False,1,1,"12,13,14,15,16,17","12,13,14,15,16,17",True,,"12,13,14,15,16,17",True,1,1:6,True
60,"13,17",2,False,1,1,"13,17","13,17",True,,"13,17",True,1,1:2,True
61,"13,14,15,16,17,18",6,False,1,1,"13,14,15,16,17,18","13,14,15,16,17,18",True,,"13,14,15,16,17,18",True,1,1:6,True
62,"13,15,17",3,False,1,1,"13,15,17","13,15,17",True,,"13,15,17",True,1,1:3,True
63,"13,16,17",3,False,1,1,"13,16,17","13,16,17",True,,"13,16,17",True,1,1:3,True
64,"13,15,17,19",4,False,1,1,"13,15,17,19","13,15,17,19",True,,"13,15,17,19",True,1,1:4,True
65,"14,16,17,18,19",5,False,1,1,"14,16,17,18,19","14,16,17,18,19",True,,"14,16,17,18,19",True,1,1:5,True
66,"17,19",2,False,1,1,"17,19","17,19",True,,"17,19",True,1,1:2,True
67,"14,15,16,17,18,19,20",7,False,1,1,"14,15,16,17,18,19,20","14,15,16,17,18,19,20",True,,"14,15,16,17,18,19,20",True,1,1:7,True
68,"15,19",2,False,1,1,"15,19","15,19",True,,"15,19",True,1,1:2,True
69,"14,16,17,19,20",5,False,1,1,"14,16,17,19,20","14,16,17,19,20",True,,"14,16,17,19,20",True,1,1:5,True
70,"17,19",2,False,1,1,"17,19","17,19",True,,"17,19",True,1,1:2,True
71,"15,16,17,18,19,20,21",7,False,1,1,"15,16,17,18,19,20,21","15,16,17,18,19,20,21",True,,"15,16,17,18,19,20,21",True,1,1:7,True
72,"17,19",2,False,1,1,"17,19","17,19",True,,"17,19",True,1,1:2,True
73,"15,16,17,18,19,20,21",7,False,2,2,16,16,False,16,"15,17,18,19,20,21",False,,1:6;2:1,True
74,"15,17,19,21",4,False,1,1,"15,17,19,21","15,17,19,21",True,,"15,17,19,21",True,1,1:4,True
75,"16,17,19,22",4,False,1,1,"16,17,19,22","16,17,19,22",True,,"16,17,19,22",True,1,1:4,True
76,"17,21",2,False,2,2,21,21,False,21,17,False,,1:1;2:1,True
77,"16,17,18,19,20,23",6,False,1,1,"16,17,18,19,20,23","16,17,18,19,20,23",True,,"16,17,18,19,20,23",True,1,1:6,True
78,"17,19,23",3,False,2,2,19,19,False,19,"17,23",False,,1:2;2:1,True
79,"16,17,18,19,20,21,22,23",8,False,1,1,"16,17,18,19,20,21,22,23","16,17,18,19,20,21,22,23",True,,"16,17,18,19,20,21,22,23",True,1,1:8,True
80,"17,19,21,23",4,False,1,1,"17,19,21,23","17,19,21,23",True,,"17,19,21,23",True,1,1:4,True
81,"17,19,20,22,23",5,False,1,1,"17,19,20,22,23","17,19,20,22,23",True,,"17,19,20,22,23",True,1,1:5,True
82,"17,19,21,23",4,False,2,2,17,17,False,17,"19,21,23",False,,1:3;2:1,True
83,"17,18,19,20,21,22,23,24",8,False,2,2,"19,20","19,20",False,"19,20","17,18,21,22,23,24",False,,1:6;2:2,True
84,"17,19,23,25",4,False,2,2,25,25,False,25,"17,19,23",False,,1:3;2:1,True
85,"18,19,21,22,23,24",6,False,2,2,23,23,False,23,"18,19,21,22,24",False,,1:5;2:1,True
86,"19,21,23,25",4,False,1,1,"19,21,23,25","19,21,23,25",True,,"19,21,23,25",True,1,1:4,True
87,"19,20,22,23,25,26",6,False,2,2,19,19,False,19,"20,22,23,25,26",False,,1:5;2:1,True
88,"19,21,23,25",4,False,2,2,19,19,False,19,"21,23,25",False,,1:3;2:1,True
89,"18,19,20,21,22,23,24,25,26",9,False,2,2,25,25,False,25,"18,19,20,21,22,23,24,26",False,,1:8;2:1,True
90,"19,23",2,False,2,2,23,23,False,23,19,False,,1:1;2:1,True
